id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient,paths,pathway_reach,functional_impact
CHST7,CHST7,Messenger RNA,0.0,10,0,,,,,,,
ERG,ERG,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
ACER2,ACER2,Messenger RNA,0.0,0,1,0.0,0.1923076923076923,0.0151515151515151,,,,
CTDSPL2,CTDSPL2,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
TTC28,TTC28,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
PRKCA,PRKCA,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
DYNLL2,DYNLL2,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.0151515151515151,,,,
PLEKHM3,PLEKHM3,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
CCDC85C,CCDC85C,Messenger RNA,0.0,0,1,0.0,0.2275132275132275,0.0151515151515151,,,,
UBASH3B,UBASH3B,Messenger RNA,0.0,0,1,0.0,0.2551928783382789,0.0151515151515151,,,,
FAR1,FAR1,Messenger RNA,0.0,30,0,,,,,,,
FBXO28,FBXO28,Messenger RNA,0.0,0,1,0.0,0.2462772050400916,0.0151515151515151,,,,
JAK1,JAK1,Messenger RNA,0.0,0,1,0.0,0.274234693877551,0.0151515151515151,,,,
ZFHX3,ZFHX3,Messenger RNA,0.0,0,1,0.0,0.2786779001944264,0.0151515151515151,,,,
NIPA1,NIPA1,Messenger RNA,0.0,11,0,,,,,,,
ATP6V1A,ATP6V1A,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
MITF,MITF,Messenger RNA,0.0,0,1,0.0,0.3109182935647144,0.0151515151515151,,,,
NSUN4,NSUN4,Messenger RNA,0.0,0,1,0.0,0.2786779001944264,0.0151515151515151,,,,
LMOD1,LMOD1,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
SNCA,SNCA,Messenger RNA,0.0,0,1,0.0,0.2349726775956284,0.0151515151515151,,,,
PTPN9,PTPN9,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
ENAH,ENAH,Messenger RNA,0.0,0,1,0.0,0.3082437275985663,0.0151515151515151,,,,
IGF2,IGF2,Messenger RNA,0.0,0,1,0.0,0.299860529986053,0.0151515151515151,,,,
EFCAB14,EFCAB14,Messenger RNA,0.0,0,1,0.0,0.274234693877551,0.0151515151515151,,,,
YPEL2,YPEL2,Messenger RNA,0.0,31,0,,,,,,,
TOLLIP,TOLLIP,Messenger RNA,0.0,0,1,0.0,0.2523474178403755,0.0151515151515151,,,,
ELAVL2,ELAVL2,Messenger RNA,0.0,0,1,0.0,0.2492753623188406,0.0151515151515151,,,,
CHST11,CHST11,Messenger RNA,0.0,0,1,0.0,0.2551928783382789,0.0151515151515151,,,,
SRGAP3,SRGAP3,Messenger RNA,0.0,0,1,0.0087343690791966,0.2740599107711918,0.0303030303030303,0.0,,,
IRGQ,IRGQ,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
GNG12,GNG12,Messenger RNA,0.0,0,1,0.0,0.3125,0.0151515151515151,,,,
INTS2,INTS2,Messenger RNA,0.0,0,1,0.0,0.2774193548387096,0.0151515151515151,,,,
BCL2L13,BCL2L13,Messenger RNA,0.0,12,0,,,,,,,
DSC2,DSC2,Messenger RNA,0.0,0,1,0.0,0.2723242558581381,0.0151515151515151,,,,
ARIH1,ARIH1,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
IL6ST,IL6ST,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
KCTD20,KCTD20,Messenger RNA,0.0,0,1,0.0,0.3171091445427728,0.0151515151515151,,,,
BCL3,BCL3,Messenger RNA,0.0,10,0,,,,,,,
MMP2,MMP2,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
MEOX2,MEOX2,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.0151515151515151,,,,
CAMK2A,CAMK2A,Messenger RNA,0.0,0,1,0.0,0.3109182935647144,0.0151515151515151,,,,
HMGCR,HMGCR,Messenger RNA,0.0,0,1,0.0,0.2723242558581381,0.0151515151515151,,,,
SH2B3,SH2B3,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
COX4I1,COX4I1,Messenger RNA,0.0,32,0,,,,,,,
