file_id,data_format,data_type,sample_type,tissue_type,created_datetime,updated_datetime,case_id
369d7929-e499-436c-b1cc-231715d11635,TSV,Gene Expression Quantification,Solid Tissue Normal,Normal,2021-12-13T19:11:45.381345-06:00,2024-07-30T11:13:09.591963-05:00,ed2e9354-5ee1-4fcf-92ec-a1b507818b91
36593e01-60d4-4162-b822-01f44e506fc7,TXT,Isoform Expression Quantification,Solid Tissue Normal,Normal,2018-03-19T23:44:08.013340-05:00,2024-07-29T21:12:00.814333-05:00,ed2e9354-5ee1-4fcf-92ec-a1b507818b91
27918218-c6a5-4f1d-b25c-bdf08d4146bd,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:12:23.722188-06:00,2024-07-30T11:17:30.689893-05:00,ed2e9354-5ee1-4fcf-92ec-a1b507818b91
7e836b63-6675-4a4c-af9d-2c58653e02f7,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:24:06.822806-05:00,2024-07-29T21:20:29.260887-05:00,ee7011e7-f692-410a-ba35-efe1ec75cf8e
9f112190-6fc5-456b-a1f6-d7440529a66b,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:21:09.378863-06:00,2024-07-30T11:07:53.417562-05:00,ee7011e7-f692-410a-ba35-efe1ec75cf8e
90175a1b-aea4-4cbb-9edb-cc455566fc00,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:32:44.599239-05:00,2024-07-29T21:22:20.352657-05:00,eeacbbdc-68c9-4dce-8999-e1dbcb86c14a
9fc9bcd9-af84-44b8-bf83-f130d247e9a1,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:20:14.932028-06:00,2024-07-30T11:00:52.021427-05:00,eeacbbdc-68c9-4dce-8999-e1dbcb86c14a
0dbc50a4-1d13-43b1-9a98-e6d169c5bf15,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T08:33:27.481772-05:00,2024-07-29T15:58:42.426782-05:00,25e4b9ff-2bdb-4ee1-8d6d-17cce7949db9
ae01d866-898c-4521-8278-e0990f9d1a95,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:57:47.473280-06:00,2024-07-30T11:23:50.312088-05:00,25e4b9ff-2bdb-4ee1-8d6d-17cce7949db9
4e760e7b-84cb-42ea-9ea9-259abe362af3,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:05:13.953359-06:00,2024-07-30T11:12:28.860056-05:00,efb088d9-fa88-4caf-a837-20d76efc83f6
cb360bf5-fd1a-481a-a41a-697926cb7d2a,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:09:14.982109-05:00,2024-07-29T21:28:47.183670-05:00,efb088d9-fa88-4caf-a837-20d76efc83f6
828b7513-8452-4541-8576-8c2f66e79892,TSV,Gene Expression Quantification,Solid Tissue Normal,Normal,2021-12-13T19:16:41.484116-06:00,2024-07-30T10:55:44.445542-05:00,f00b7956-73a9-4e4b-85d2-60b3ba13f4a4
be0cef4b-1266-4886-85cb-114a0306d2d4,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:32:44.599239-05:00,2024-07-29T21:27:08.661532-05:00,f00b7956-73a9-4e4b-85d2-60b3ba13f4a4
69044abe-e250-467d-8122-091cb1139050,TXT,Isoform Expression Quantification,Solid Tissue Normal,Normal,2018-03-19T23:58:10.630420-05:00,2024-07-29T21:17:57.452382-05:00,f00b7956-73a9-4e4b-85d2-60b3ba13f4a4
e79eb779-6742-452b-87d4-35e67d30de92,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:13:39.019415-06:00,2024-07-30T11:16:37.611013-05:00,f00b7956-73a9-4e4b-85d2-60b3ba13f4a4
19062abb-b733-43e2-a9f2-81bca6d65a1e,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:14:20.450724-06:00,2024-07-30T11:02:11.609124-05:00,f1ae0181-74f8-47fd-83be-83a7d01101cc
b523d1b9-13c1-4578-bcf0-c3c3ec280baf,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:44:08.013340-05:00,2024-07-29T21:26:16.796938-05:00,f1ae0181-74f8-47fd-83be-83a7d01101cc
5e8a8632-767b-4f25-869b-05f39d30910a,TXT,Isoform Expression Quantification,Solid Tissue Normal,Normal,2018-03-19T23:50:26.423120-05:00,2024-07-29T21:16:51.030208-05:00,f1ae0181-74f8-47fd-83be-83a7d01101cc
