source,target,mirtarbase,correlation,qvalue
hsa-miR-29c-3p,SERPINH1,MIRT437560,-0.4190909759855948,1.793973371728441e-07
hsa-miR-29c-3p,DYNLT1,MIRT523964,-0.3045042159391935,0.0003222365667689
hsa-miR-29c-3p,LOX,MIRT437561,-0.3146534186332392,0.0001728521106141
hsa-miR-29c-3p,NREP,,-0.3392110480114964,4.302117329479346e-05
hsa-miR-29c-3p,COL6A3,,-0.3487001575566598,2.3338688338606535e-05
hsa-miR-29c-3p,EIF4E2,,-0.3715621050262306,4.769112726165186e-06
hsa-miR-29c-3p,PPIC,,-0.3737263448586319,4.254237199217368e-06
hsa-miR-29c-3p,ITGA11,,-0.3230885433800231,0.0001089255541861
hsa-miR-29c-3p,SH3PXD2B,,-0.3412010665373894,3.871368491343016e-05
hsa-miR-200a-3p,MEIS2,,-0.3977526533580345,8.67153829259215e-07
hsa-miR-200a-3p,PPP2R2B,,-0.3279644782838823,8.269620624329915e-05
hsa-miR-200a-3p,CORO1C,,-0.3869033190782069,1.8402041229418624e-06
hsa-miR-200a-3p,ZEB2,MIRT001035,-0.351139255847776,1.9699760485816693e-05
hsa-miR-200a-3p,DZIP1,,-0.3546896912928302,1.5732752072490657e-05
hsa-miR-200a-3p,WWTR1,,-0.4774291427878871,8.770977827760624e-10
hsa-miR-200a-3p,NUMBL,,-0.3037456498779368,0.0003360982135769
hsa-miR-200a-3p,IGDCC4,,-0.304458766902713,0.0003222365667689
hsa-miR-200a-3p,BACH2,,-0.3864293505549111,1.8548873997429647e-06
hsa-miR-200a-3p,SOX17,,-0.3376084284156032,4.666486590276496e-05
hsa-miR-200a-3p,FOXN3,,-0.3064076648717904,0.0002935344241588
hsa-miR-200a-3p,GATA6,MIRT004006,-0.3341629586024205,6.037604622972667e-05
hsa-miR-200a-3p,NRP1,,-0.3464893865678618,2.743881096169152e-05
hsa-miR-200a-3p,RGS7BP,,-0.3605748592599685,1.0314328791118548e-05
hsa-miR-301a-3p,EBF3,,-0.3386147999376699,4.472041284437368e-05
hsa-miR-301a-3p,TBC1D12,,-0.309088159521844,0.0002506678025082
hsa-miR-301a-3p,RARB,,-0.3731668888619561,4.3656601084939e-06
hsa-miR-301a-3p,RAB14,MIRT469812,-0.3202133507626781,0.000127018557651
hsa-miR-301a-3p,FRMD6,,-0.3918139792579254,1.381280481352689e-06
hsa-miR-301a-3p,PXYLP1,,-0.3736744031026542,4.254237199217368e-06
hsa-miR-301a-3p,KIAA1217,,-0.3123398462524023,0.0002006504733577
hsa-miR-301a-3p,NR3C2,,-0.3232692574060287,0.0001087398522177
hsa-miR-301a-3p,ADGRB3,,-0.3610112464272531,1.0314328791118548e-05
hsa-miR-301a-3p,TGFBR2,MIRT091690,-0.3167148570736015,0.0001578373720628
hsa-miR-301a-3p,TRPC3,MIRT553350,-0.3322501301252553,6.519446540435378e-05
hsa-miR-301a-3p,AR,,-0.3596847568260124,1.098343281675066e-05
hsa-miR-130b-3p,RNF38,,-0.3205856000138511,0.0001255828905169
hsa-miR-130b-3p,PPP1R9A,MIRT020286,-0.3162430527901379,0.0001595274939953
hsa-miR-363-3p,TBX3,,-0.3105655056591341,0.0002275235379997
hsa-miR-365a-3p,MEF2D,,-0.3029070069428814,0.0003510068832165
hsa-miR-381-3p,TPD52,,-0.3031439912045293,0.0003490415276112
hsa-miR-381-3p,ESR1,,-0.3280240923178142,8.269620624329915e-05
hsa-miR-342-3p,SLC41A2,MIRT614774,-0.3274797859999653,8.488327742277259e-05
hsa-miR-342-3p,TACC1,MIRT043739,-0.3640251398098931,8.228508791558574e-06
hsa-miR-342-3p,EDA,,-0.3447222847447063,2.981618479158546e-05
hsa-miR-342-3p,FRMD4A,,-0.424571913361151,1.2569041180251098e-07
hsa-miR-342-3p,CDK6,MIRT659637,-0.3062128832868743,0.0002966565827763
hsa-miR-342-3p,JCAD,,-0.3605288103606489,1.0314328791118548e-05
hsa-miR-342-3p,MBNL3,MIRT547498,-0.3319225191109313,6.611482283480483e-05
hsa-miR-342-3p,TBX15,,-0.3006313087591114,0.0003962138528881
hsa-miR-342-3p,DNM3,,-0.3481982423117201,2.4115968014997803e-05
hsa-miR-342-3p,PDGFRA,,-0.3767649375833232,3.293271851222246e-06
hsa-miR-342-3p,PLEKHM3,,-0.3947785535678053,1.123441654970929e-06
hsa-miR-342-3p,TBX18,,-0.3267753259345187,8.875858807688128e-05
hsa-miR-342-3p,FLNC,,-0.4176820558547016,1.793973371728441e-07
hsa-miR-148b-3p,RUNX1T1,,-0.3219318442818316,0.0001153560663908
hsa-miR-148b-3p,MMP19,,-0.3014299132572675,0.0003818761882607
hsa-miR-148b-3p,BICC1,,-0.3177385425143272,0.0001494488227802
hsa-miR-324-5p,NRG2,,-0.3208488155512635,0.0001237754168679
hsa-miR-324-5p,ITGA9,,-0.3172526706719532,0.0001519700242966
hsa-miR-20b-5p,SRGAP1,,-0.3782799054660041,2.9841951403197104e-06
hsa-miR-429,TCF4,,-0.3087288120920408,0.0002566015013445
hsa-miR-429,SHROOM4,,-0.3252062520560277,9.7309375997004e-05
hsa-miR-429,LATS2,,-0.3174063317000536,0.0001513593406471
hsa-miR-429,PLPPR4,,-0.3309292222854544,6.94804603145903e-05
hsa-miR-429,PALM2AKAP2,,-0.3671286597295565,6.901505281049163e-06
hsa-miR-429,PRDM16,,-0.3874383055717437,1.8140151416282264e-06
hsa-miR-429,KLF6,,-0.3201657374863653,0.000127018557651
hsa-miR-429,KCNB1,,-0.328378478548182,8.105818641056135e-05
hsa-miR-429,MAF,,-0.3034567238603112,0.0003421967178019
hsa-miR-429,SLC2A3,,-0.3073902297557006,0.0002782644676492
hsa-miR-429,PLPP3,,-0.3100684765482971,0.0002343211492573
hsa-miR-429,FAM126A,,-0.3667381136534757,6.901505281049163e-06
hsa-miR-429,CCDC82,,-0.3807698633931817,2.6867294998525044e-06
hsa-miR-193b-3p,CBX7,,-0.3309317485326454,6.94804603145903e-05
hsa-miR-193b-3p,RUNX1T1,,-0.3011562183902652,0.0003868006761763
hsa-miR-193b-3p,KIT,MIRT734593,-0.41716696677459,1.793973371728441e-07
hsa-miR-193b-3p,CSRNP3,,-0.3528966185916858,1.7234345470542342e-05
hsa-miR-181d-5p,CASP10,,-0.3316709261623513,6.68238403992762e-05
hsa-miR-33b-5p,RUNX1T1,,-0.3857236047738707,1.8548873997429647e-06
hsa-miR-33b-5p,TSHZ2,,-0.3505542279395548,2.05046530708611e-05
hsa-miR-33b-5p,PALM2AKAP2,,-0.3323030944453805,6.519446540435378e-05
hsa-miR-33b-5p,RGMA,,-0.3586456253099457,1.1722870688985026e-05
hsa-miR-33b-5p,CROT,,-0.3025971346954702,0.0003564779645455
hsa-miR-33b-5p,SLC16A7,,-0.3230105524057631,0.0001089266209633
hsa-miR-425-5p,PPP2CB,MIRT016657,-0.3102167269768166,0.0002327291689932
hsa-miR-744-5p,HPSE2,,-0.3786971555694801,2.9841951403197104e-06
hsa-miR-365b-3p,MEF2D,,-0.3029394705403673,0.0003510068832165
