accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000432,hsa-miR-141-3p,QKI,-0.3017805201101165,2.230595175471257e-06
MIMAT0000432,hsa-miR-141-3p,WIPF1,-0.4152472860432501,5.229099677121448e-11
MIMAT0000432,hsa-miR-141-3p,MOB3B,-0.4037439194989281,1.876159654782104e-10
MIMAT0000432,hsa-miR-141-3p,ACVR2A,-0.3232129871703862,4.0590681956033523e-07
MIMAT0000432,hsa-miR-141-3p,ARL4A,-0.3452492771438959,6.10696614997255e-08
MIMAT0000432,hsa-miR-141-3p,MEIS2,-0.4243760496563187,1.831821202397595e-11
MIMAT0000432,hsa-miR-141-3p,SCN7A,-0.3408645272434509,9.0082939974039e-08
MIMAT0000432,hsa-miR-141-3p,PRICKLE1,-0.3745346884360337,3.89203732650649e-09
MIMAT0000432,hsa-miR-141-3p,ASXL3,-0.3228309647472019,4.1891533771166906e-07
MIMAT0000432,hsa-miR-141-3p,RSPO3,-0.3409100685063376,8.972272675332086e-08
MIMAT0000432,hsa-miR-141-3p,RBMS1,-0.346705810551102,5.3600969629254144e-08
MIMAT0000432,hsa-miR-141-3p,CACNA2D1,-0.3636453157193067,1.1190727164595942e-08
MIMAT0000432,hsa-miR-141-3p,PPP2R2B,-0.3541923952300083,2.712718896787336e-08
MIMAT0000432,hsa-miR-141-3p,ERG,-0.3968469189881745,3.9438983034583376e-10
MIMAT0000432,hsa-miR-141-3p,PALM2AKAP2,-0.367287731357238,7.894483702691889e-09
MIMAT0000432,hsa-miR-141-3p,DUSP7,-0.344591348234846,6.47622346542934e-08
MIMAT0000432,hsa-miR-141-3p,SOX17,-0.4165923610990876,4.4891284935134336e-11
MIMAT0000432,hsa-miR-141-3p,DLC1,-0.3709831708710632,5.516281063286224e-09
MIMAT0000432,hsa-miR-141-3p,TMEM130,-0.3275403847152726,2.8308870676614976e-07
MIMAT0000432,hsa-miR-141-3p,MAPRE2,-0.3622115068303409,1.2823087501563876e-08
MIMAT0000432,hsa-miR-141-3p,IGF2,-0.3391720916945132,1.0449895138282073e-07
MIMAT0000432,hsa-miR-141-3p,P2RY1,-0.3703248010860293,5.882000551881277e-09
MIMAT0000432,hsa-miR-141-3p,NDNF,-0.3235960576207212,3.932511220783663e-07
MIMAT0000440,hsa-miR-191-5p,TCF7L2,-0.3184430025797738,5.999874233855045e-07
MIMAT0000440,hsa-miR-191-5p,ZCCHC24,-0.3413806984434787,8.608031617137044e-08
MIMAT0000441,hsa-miR-9-5p,ENTPD5,-0.326814282251502,3.0085141741793744e-07
MIMAT0000450,hsa-miR-149-5p,EIF3L,-0.3226427099745484,4.2547148312308113e-07
MIMAT0000459,hsa-miR-193a-3p,FLI1,-0.3060581401388575,1.6044466729755422e-06
MIMAT0000617,hsa-miR-200c-3p,PHLDB1,-0.3183163945495784,6.061878124303156e-07
MIMAT0000617,hsa-miR-200c-3p,CELF2,-0.3463368076596776,5.540545188633996e-08
MIMAT0000617,hsa-miR-200c-3p,RUNX1T1,-0.3629485286817446,1.195727027261968e-08
MIMAT0000617,hsa-miR-200c-3p,BACH2,-0.3553919871184445,2.428264546893304e-08
