accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue
MIMAT0000065,hsa-let-7d-5p,PBX2,MIRT735656,-0.02343912771720258,0.3997052225488267,0.7749217945426252
MIMAT0000065,hsa-let-7d-5p,PLAGL2,MIRT485297,-0.10900062504340578,0.11799315223627983,0.44609295930426557
MIMAT0000065,hsa-let-7d-5p,RBMS2,,-0.06103896103896103,0.2538998888385447,0.6350428021624572
MIMAT0000065,hsa-let-7d-5p,REL,,-0.17462323772484198,0.02822384733177622,0.22743150730121262
MIMAT0000065,hsa-let-7d-5p,ST8SIA1,,-0.06565039238836029,0.23810681152043528,0.6177430233785884
MIMAT0000065,hsa-let-7d-5p,SMARCC1,,-0.12713382873810677,0.08322118961659614,0.381039616068055
MIMAT0000065,hsa-let-7d-5p,STRN,MIRT500899,-0.13923883603027987,0.0646688956659234,0.3380766686565588
MIMAT0000065,hsa-let-7d-5p,THBS1,MIRT032122,-0.18006111535523298,0.02453741990259815,0.2140783488494213
MIMAT0000065,hsa-let-7d-5p,THRSP,,0.018647160648615938,0.5800998424821516,0.9034740493801054
MIMAT0000065,hsa-let-7d-5p,UBE2G2,,-0.12932842558511004,0.07959323127337578,0.3729964414676844
MIMAT0000065,hsa-let-7d-5p,WNT9B,,-0.03459962497395652,0.35376884388321483,0.7350406179932938
MIMAT0000065,hsa-let-7d-5p,YY1,,-0.11386901868185291,0.1077934088535271,0.42814730816120183
MIMAT0000065,hsa-let-7d-5p,BSN,,-0.034231543857212304,0.355254854151586,0.7360216944575836
MIMAT0000065,hsa-let-7d-5p,RTCA,,-0.07483158552677269,0.20831016528490565,0.5822341020161553
MIMAT0000065,hsa-let-7d-5p,SOCS1,MIRT492211,0.09279116605319812,0.8432760431780554,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,IRS2,,-0.12027918605458711,0.09534214984330981,0.4055735654989896
MIMAT0000065,hsa-let-7d-5p,GALNT4,,-0.08801989109415347,0.1695426036812427,0.5273819003364624
MIMAT0000065,hsa-let-7d-5p,EIF2S2,,0.02700187513021737,0.6151426442756833,0.9241134709770731
MIMAT0000065,hsa-let-7d-5p,WASL,MIRT533189,-0.29434682964094727,0.000550680927946039,0.034040515199114836
MIMAT0000065,hsa-let-7d-5p,PAX2,,-0.09049219945472498,0.16281970566237863,0.5178957322424836
MIMAT0000065,hsa-let-7d-5p,DMD,,-0.26721300090284045,0.0015869257180733984,0.05756136113424117
MIMAT0000065,hsa-let-7d-5p,E2F2,,0.12080700048614484,0.9056344440319246,0.9999999999999991
