gene_id,gene_name,is_expressed
ENSG00000019186.10,CYP24A1,1
ENSG00000019485.13,PRDM11,1
ENSG00000019505.8,SYT13,1
ENSG00000019549.13,SNAI2,1
ENSG00000019582.15,CD74,1
ENSG00000019991.18,HGF,1
ENSG00000019995.6,ZRANB1,1
ENSG00000020129.16,NCDN,1
ENSG00000020181.18,ADGRA2,1
ENSG00000020256.20,ZFP64,1
ENSG00000020426.11,MNAT1,1
ENSG00000020577.14,SAMD4A,1
ENSG00000020633.19,RUNX3,1
ENSG00000020922.13,MRE11,1
ENSG00000021300.14,PLEKHB1,1
ENSG00000021355.13,SERPINB1,1
ENSG00000021461.17,CYP3A43,1
ENSG00000021488.13,SLC7A9,1
ENSG00000021574.13,SPAST,1
ENSG00000021645.20,NRXN3,1
ENSG00000021762.20,OSBPL5,1
ENSG00000021776.11,AQR,1
ENSG00000021826.17,CPS1,1
ENSG00000021852.13,C8B,0
ENSG00000022267.19,FHL1,1
ENSG00000022277.13,RTF2,1
ENSG00000022355.18,GABRA1,0
ENSG00000022556.16,NLRP2,1
ENSG00000022567.10,SLC45A4,1
ENSG00000022840.16,RNF10,1
ENSG00000022976.15,ZNF839,1
ENSG00000023041.11,ZDHHC6,1
ENSG00000023171.18,GRAMD1B,1
ENSG00000023191.17,RNH1,1
ENSG00000023228.14,NDUFS1,1
ENSG00000023287.13,RB1CC1,1
ENSG00000023318.8,ERP44,1
ENSG00000023330.15,ALAS1,1
ENSG00000023445.16,BIRC3,1
ENSG00000023516.9,AKAP11,1
ENSG00000023572.10,GLRX2,1
ENSG00000023608.5,SNAPC1,1
ENSG00000023697.13,DERA,1
ENSG00000023734.11,STRAP,1
ENSG00000023839.12,ABCC2,1
ENSG00000023892.11,DEF6,1
ENSG00000023902.14,PLEKHO1,1
ENSG00000023909.10,GCLM,1
ENSG00000024048.11,UBR2,1
ENSG00000024422.12,EHD2,1
ENSG00000024526.17,DEPDC1,1
ENSG00000024862.18,CCDC28A,1
ENSG00000025039.15,RRAGD,1
ENSG00000025156.13,HSF2,1
ENSG00000025293.17,PHF20,1
ENSG00000025423.11,HSD17B6,1
ENSG00000025434.19,NR1H3,1
ENSG00000025708.14,TYMP,1
ENSG00000025770.19,NCAPH2,1
ENSG00000025772.8,TOMM34,1
ENSG00000025796.14,SEC63,1
ENSG00000025800.14,KPNA6,1
ENSG00000026025.16,VIM,1
ENSG00000026036.22,RTEL1-TNFRSF6B,1
ENSG00000026103.22,FAS,1
ENSG00000026297.16,RNASET2,1
ENSG00000026508.20,CD44,1
ENSG00000026559.14,KCNG1,1
ENSG00000026652.15,AGPAT4,1
ENSG00000026751.17,SLAMF7,1
ENSG00000026950.17,BTN3A1,1
ENSG00000027001.10,MIPEP,1
ENSG00000027075.15,PRKCH,1
ENSG00000027644.5,INSRR,1
ENSG00000027697.15,IFNGR1,1
ENSG00000027847.14,B4GALT7,1
ENSG00000027869.12,SH2D2A,1
ENSG00000028116.18,VRK2,1
ENSG00000028137.19,TNFRSF1B,1
ENSG00000028203.18,VEZT,1
ENSG00000028277.21,POU2F2,1
ENSG00000028310.18,BRD9,1
ENSG00000028528.15,SNX1,1
ENSG00000028839.10,TBPL1,1
ENSG00000029153.14,ARNTL2,1
ENSG00000029363.17,BCLAF1,1
ENSG00000029364.12,SLC39A9,1
ENSG00000029534.21,ANK1,1
ENSG00000029559.7,IBSP,1
ENSG00000029639.11,TFB1M,1
ENSG00000029725.17,RABEP1,1
ENSG00000029993.15,HMGB3,1
ENSG00000030066.13,NUP160,1
ENSG00000030110.13,BAK1,1
ENSG00000030304.14,MUSK,1
ENSG00000030419.16,IKZF2,1
ENSG00000030582.18,GRN,1
ENSG00000031003.10,FAM13B,1
ENSG00000031081.11,ARHGAP31,1
ENSG00000031691.7,CENPQ,1
ENSG00000031698.13,SARS1,1
ENSG00000031823.14,RANBP3,1
ENSG00000032219.19,ARID4A,1
ENSG00000032389.13,EIPR1,1
ENSG00000032444.17,PNPLA6,1
ENSG00000032742.18,IFT88,1
ENSG00000033011.13,ALG1,1
ENSG00000033030.15,ZCCHC8,1
ENSG00000033050.9,ABCF2,1
ENSG00000033100.16,CHPF2,1
ENSG00000033122.21,LRRC7,1
ENSG00000033170.17,FUT8,1
ENSG00000033178.13,UBA6,1
ENSG00000033327.13,GAB2,1
ENSG00000033627.17,ATP6V0A1,1
ENSG00000033800.14,PIAS1,1
ENSG00000033867.16,SLC4A7,1
ENSG00000034053.14,APBA2,1
ENSG00000034152.19,MAP2K3,1
ENSG00000034239.11,EFCAB1,1
ENSG00000034510.6,TMSB10,1
ENSG00000034533.12,ASTE1,1
ENSG00000034677.13,RNF19A,1
ENSG00000034693.15,PEX3,1
ENSG00000034713.8,GABARAPL2,1
ENSG00000034971.17,MYOC,1
ENSG00000035115.22,SH3YL1,1
ENSG00000035141.8,FAM136A,1
ENSG00000035403.18,VCL,1
ENSG00000035499.13,DEPDC1B,1
ENSG00000035664.11,DAPK2,1
ENSG00000035681.9,NSMAF,1
ENSG00000035687.10,ADSS2,1
ENSG00000035720.8,STAP1,1
ENSG00000035862.12,TIMP2,1
ENSG00000035928.16,RFC1,1
ENSG00000036054.13,TBC1D23,1
ENSG00000036257.13,CUL3,1
ENSG00000036448.10,MYOM2,1
ENSG00000036473.8,OTC,0
ENSG00000036530.9,CYP46A1,1
ENSG00000036549.13,ZZZ3,1
ENSG00000036565.15,SLC18A1,1
ENSG00000036672.16,USP2,1
ENSG00000036828.17,CASR,0
ENSG00000037042.9,TUBG2,1
ENSG00000037241.7,RPL26L1,1
ENSG00000037280.16,FLT4,1
ENSG00000037474.15,NSUN2,1
ENSG00000037637.11,FBXO42,1
ENSG00000037749.12,MFAP3,1
ENSG00000037757.14,MRI1,1
ENSG00000037897.17,METTL1,1
ENSG00000037965.6,HOXC8,1
ENSG00000038002.9,AGA,1
ENSG00000038210.14,PI4K2B,1
ENSG00000038219.13,BOD1L1,1
ENSG00000038274.17,MAT2B,1
ENSG00000038295.8,TLL1,1
ENSG00000038358.15,EDC4,1
ENSG00000038382.20,TRIO,1
ENSG00000038427.16,VCAN,1
ENSG00000038532.16,CLEC16A,1
ENSG00000038945.15,MSR1,1
ENSG00000039068.19,CDH1,1
ENSG00000039123.16,MTREX,1
ENSG00000039139.9,DNAH5,1
ENSG00000039319.17,ZFYVE16,1
ENSG00000039523.20,RIPOR1,1
ENSG00000039537.14,C6,1
ENSG00000039560.14,RAI14,1
ENSG00000039600.11,SOX30,1
ENSG00000039650.12,PNKP,1
ENSG00000039987.7,BEST2,0
ENSG00000040199.18,PHLPP2,1
ENSG00000040275.17,SPDL1,1
ENSG00000040341.18,STAU2,1
ENSG00000040487.13,SLC66A1,1
ENSG00000040531.16,CTNS,1
ENSG00000040608.14,RTN4R,1
ENSG00000040633.13,PHF23,1
ENSG00000040731.10,CDH10,1
ENSG00000040933.16,INPP4A,1
ENSG00000041353.10,RAB27B,1
ENSG00000041357.16,PSMA4,1
ENSG00000041515.16,MYO16,1
ENSG00000041802.11,LSG1,1
ENSG00000041880.14,PARP3,1
ENSG00000041982.16,TNC,1
ENSG00000041988.15,THAP3,1
ENSG00000042062.13,RIPOR3,1
ENSG00000042088.14,TDP1,1
ENSG00000042286.15,AIFM2,1
ENSG00000042304.12,C2orf83,0
ENSG00000042317.17,SPATA7,1
ENSG00000042429.12,MED17,1
ENSG00000042445.14,RETSAT,1
ENSG00000042493.16,CAPG,1
ENSG00000042753.12,AP2S1,1
ENSG00000042781.14,USH2A,1
ENSG00000042813.8,ZPBP,0
ENSG00000042832.12,TG,1
ENSG00000042980.13,ADAM28,1
ENSG00000043039.7,BARX2,1
ENSG00000043093.15,DCUN1D1,1
ENSG00000043143.20,JADE2,1
ENSG00000043355.12,ZIC2,1
ENSG00000043462.13,LCP2,1
ENSG00000043514.17,TRIT1,1
ENSG00000043591.6,ADRB1,1
ENSG00000044012.4,GUCA2B,0
ENSG00000044090.10,CUL7,1
ENSG00000044115.21,CTNNA1,1
ENSG00000044446.12,PHKA2,1
ENSG00000044459.15,CNTLN,1
ENSG00000044524.11,EPHA3,1
ENSG00000044574.8,HSPA5,1
ENSG00000046604.13,DSG2,1
ENSG00000046647.13,GEMIN8,1
ENSG00000046651.15,OFD1,1
ENSG00000046653.15,GPM6B,1
ENSG00000046774.10,MAGEC2,1
ENSG00000046889.19,PREX2,1
ENSG00000047056.16,WDR37,1
ENSG00000047188.16,YTHDC2,1
ENSG00000047230.15,CTPS2,1
ENSG00000047249.18,ATP6V1H,1
ENSG00000047315.17,POLR2B,1
