accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000066,hsa-let-7e-5p,LIMD2,-0.4430622009569378,0.0003134953729189
MIMAT0000066,hsa-let-7e-5p,TEX261,-0.3104579630895421,0.0099369314644627
MIMAT0000068,hsa-miR-15a-5p,ETV1,-0.3927546138072454,0.0013760898635669
MIMAT0000068,hsa-miR-15a-5p,MYLK,-0.3854408749145591,0.0016753324315581
MIMAT0000068,hsa-miR-15a-5p,ACSL4,-0.3431305536568694,0.0048132874277005
MIMAT0000068,hsa-miR-15a-5p,SUSD6,-0.3411483253588517,0.0050405314149009
MIMAT0000068,hsa-miR-15a-5p,CDK6,-0.3342162375101355,0.0059097737388747
MIMAT0000068,hsa-miR-15a-5p,COL12A1,-0.3650717703349282,0.0028329124239301
MIMAT0000068,hsa-miR-15a-5p,GHR,-0.3747778537252221,0.0022146566006435
MIMAT0000068,hsa-miR-15a-5p,FGF1,-0.3908407382091592,0.0014494181824445
MIMAT0000068,hsa-miR-15a-5p,SEC24A,-0.3219412166780587,0.0077676413867765
MIMAT0000068,hsa-miR-15a-5p,SGIP1,-0.4717703349282297,0.0001210565347374
MIMAT0000068,hsa-miR-15a-5p,SLC36A1,-0.4252221462747779,0.0005437372879151
MIMAT0000068,hsa-miR-15a-5p,SOX5,-0.3375256322624744,0.0054798920645921
MIMAT0000068,hsa-miR-15a-5p,PLXNC1,-0.3144907723855092,0.0091228802040907
MIMAT0000068,hsa-miR-15a-5p,DCAF5,-0.3104579630895421,0.0099369314644627
MIMAT0000068,hsa-miR-15a-5p,LPP,-0.3674641148325359,0.0026679281510988
MIMAT0000068,hsa-miR-15a-5p,TNIK,-0.4005468215994532,0.0011103885700404
MIMAT0000068,hsa-miR-15a-5p,ADAMTS5,-0.3304169514695831,0.0064388355844836
MIMAT0000068,hsa-miR-15a-5p,STARD9,-0.3498974709501025,0.0041030583788571
MIMAT0000068,hsa-miR-15a-5p,FSTL1,-0.3746411483253589,0.0022224637793203
MIMAT0000068,hsa-miR-15a-5p,SVEP1,-0.3842854458087702,0.0017275353369289
MIMAT0000068,hsa-miR-15a-5p,ARHGAP42,-0.3553656869446343,0.0035975307101801
MIMAT0000068,hsa-miR-15a-5p,LUZP1,-0.3244019138755981,0.0073596518893688
MIMAT0000068,hsa-miR-15a-5p,GPC6,-0.3991524120953956,0.0011542803858897
MIMAT0000068,hsa-miR-15a-5p,UBE2QL1,-0.3292549555707451,0.0066085690123161
MIMAT0000069,hsa-miR-16-5p,ETV1,-0.4360902255639098,0.0003901619337506
MIMAT0000069,hsa-miR-16-5p,ANLN,-0.3142173615857827,0.0091762175830849
MIMAT0000069,hsa-miR-16-5p,KIF1B,-0.3213943950786056,0.0078608866663738
MIMAT0000069,hsa-miR-16-5p,MYLK,-0.4911141490088859,6.071844202438064e-05
MIMAT0000069,hsa-miR-16-5p,ZNF532,-0.3338345864661654,0.0059611697575687
MIMAT0000069,hsa-miR-16-5p,FNDC3B,-0.3292549555707451,0.0066085690123161
MIMAT0000069,hsa-miR-16-5p,MKNK1,-0.3230348598769652,0.0075839855041126
MIMAT0000069,hsa-miR-16-5p,SOS2,-0.3146958304853041,0.0090830504787876
MIMAT0000069,hsa-miR-16-5p,TBX18,-0.3146958304853041,0.0090830504787876
MIMAT0000069,hsa-miR-16-5p,NPR3,-0.3460013670539986,0.0044999295627118
MIMAT0000069,hsa-miR-16-5p,PLSCR4,-0.3369104579630895,0.0055576943414995
MIMAT0000069,hsa-miR-16-5p,NRBP1,-0.3952836637047163,0.0012842500633037
MIMAT0000069,hsa-miR-16-5p,SOX5,-0.3125085440874914,0.009515622001926
MIMAT0000069,hsa-miR-16-5p,CCNJL,-0.513943950786056,2.5456774590688857e-05
MIMAT0000069,hsa-miR-16-5p,LAMC1,-0.4354066985645933,0.0003985215592208
MIMAT0000069,hsa-miR-16-5p,YAP1,-0.3218045112781955,0.0077908635825318
MIMAT0000069,hsa-miR-16-5p,PELI2,-0.3268626110731374,0.0069701566617361
MIMAT0000069,hsa-miR-16-5p,PIK3R1,-0.3418318523581681,0.0049611444334116
